,front_house_area,house_area,street,quality,year_built,year_remodel_add,garage_year_build,basement_quality,basement_area,central_air_conditioning,heating,grade_living_area,wood_deck_area
333,59.0,8198,Pave,7,2004,2004,2004.0,Gd,1358.0,Y,GasA,1358,192
334,59.0,9042,Pave,6,1998,1998,1998.0,Gd,943.0,Y,GasA,1638,100
336,86.0,14157,Pave,9,2005,2006,2005.0,Ex,1922.0,Y,GasA,1922,178
337,70.0,9135,Pave,7,2002,2003,2002.0,Gd,1536.0,Y,GasA,1536,192
338,91.0,14145,Pave,7,1984,1998,1984.0,Gd,1208.0,Y,GasA,1621,108
339,66.0,12400,Pave,6,1958,1998,1958.0,TA,1215.0,Y,GasA,1215,0
340,85.0,14191,Pave,8,2002,2002,2002.0,Gd,967.0,Y,GasA,1908,135
341,60.0,8400,Pave,4,1950,1950,1950.0,TA,721.0,Y,GasA,841,250
344,36.0,2592,Pave,5,1976,1976,1976.0,Gd,536.0,Y,GasA,1112,182
345,65.0,6435,Pave,6,1939,1950,1939.0,TA,972.0,Y,GasA,1577,0
346,69.30579531442663,12772,Pave,6,1960,1998,1960.0,TA,958.0,Y,GasA,958,0
347,69.30579531442663,17600,Pave,6,1960,1960,1960.0,TA,1478.0,Y,GasA,1478,0
348,36.0,2448,Pave,7,2003,2004,2003.0,Gd,764.0,Y,GasA,1626,0
350,68.0,7820,Pave,9,2007,2007,2007.0,Ex,1869.0,Y,GasA,1869,210
351,69.30579531442663,5271,Pave,7,1986,1986,1986.0,Gd,1453.0,Y,GasA,1453,0
352,60.0,9084,Pave,5,1941,1950,1941.0,TA,616.0,N,GasA,1111,48
353,60.0,8520,Pave,6,1928,2003,2005.0,TA,624.0,Y,GasA,720,106
354,60.0,8400,Pave,6,1940,2000,1940.0,TA,940.0,Y,GasA,1595,0
355,105.0,11249,Pave,6,1995,1995,1995.0,Gd,1200.0,Y,GasA,1200,0
356,69.30579531442663,9248,Pave,6,1992,1992,1992.0,Gd,1158.0,Y,GasA,1167,120
358,92.0,6930,Pave,5,1958,1958,1958.0,TA,1062.0,Y,GasA,1352,168
359,78.0,12011,Pave,8,1998,1998,1998.0,Gd,1086.0,Y,GasA,1924,208
360,69.30579531442663,7540,Pave,6,1978,1978,1978.0,Gd,888.0,Y,GasA,912,0
361,69.30579531442663,9144,Pave,5,1940,1982,1940.0,TA,883.0,Y,GasA,1505,0
364,69.30579531442663,18800,Pave,6,1976,1976,1976.0,Gd,796.0,Y,GasA,1574,306
365,59.0,10690,Pave,5,1920,1997,1964.0,TA,672.0,Y,GasA,1344,0
366,69.30579531442663,9500,Pave,6,1963,1963,1963.0,Gd,1394.0,Y,GasA,1394,0
367,101.0,9150,Pave,6,1962,1962,1962.0,Gd,1099.0,Y,GasA,1431,64
368,78.0,7800,Pave,5,1954,1954,1954.0,TA,1268.0,Y,GasA,1268,0
369,69.30579531442663,9830,Pave,5,1959,2006,1997.0,TA,1063.0,Y,GasA,1287,364
370,69.30579531442663,8121,Pave,6,2000,2000,2000.0,Gd,953.0,Y,GasA,1664,100
372,50.0,7175,Pave,6,1984,1984,1984.0,Gd,744.0,Y,GasA,752,353
373,79.0,10634,Pave,5,1953,1953,1953.0,TA,608.0,Y,GasA,1319,66
374,65.0,8200,Pave,7,2003,2004,2003.0,Gd,847.0,Y,GasA,1928,100
376,57.0,8846,Pave,5,1996,1996,1998.0,Gd,870.0,Y,GasA,914,0
377,102.0,11143,Pave,8,2004,2005,2004.0,Gd,1580.0,Y,GasA,2466,159
379,60.0,8123,Pave,6,2000,2000,2000.0,Gd,982.0,Y,GasA,1800,100
380,50.0,5000,Pave,5,1924,1950,1924.0,TA,1026.0,Y,GasA,1691,0
381,60.0,7200,Pave,7,2006,2006,2006.0,Gd,1293.0,Y,GasA,1301,216
382,79.0,9245,Pave,7,2006,2006,2006.0,Gd,939.0,Y,GasA,1797,144
384,69.30579531442663,53107,Pave,6,1992,1992,1992.0,Gd,1580.0,Y,GasA,1953,216
385,43.0,3182,Pave,8,2004,2005,2004.0,Gd,1256.0,Y,GasA,1269,146
386,58.0,8410,Pave,5,1910,1996,1978.1134057971014,TA,658.0,Y,GasA,1184,0
387,72.0,7200,Pave,6,1976,1976,1977.0,TA,1041.0,Y,GasA,1125,296
388,93.0,9382,Pave,7,1999,2000,1999.0,Gd,1468.0,Y,GasA,1479,120
389,96.0,12474,Pave,10,2007,2008,2008.0,Ex,1682.0,Y,GasA,2332,196
391,71.0,12209,Pave,6,2001,2002,2001.0,Ex,804.0,Y,GasA,1961,125
393,69.30579531442663,7446,Pave,4,1941,1950,1978.1134057971014,TA,788.0,Y,GasA,788,0
394,60.0,10134,Pave,5,1940,1950,1940.0,TA,735.0,Y,GasA,1034,0
395,68.0,9571,Pave,5,1956,1956,1956.0,TA,1144.0,Y,GasA,1144,44
396,60.0,7200,Pave,5,1972,1972,1985.0,TA,894.0,Y,GasA,894,215
397,69.0,7590,Pave,5,1962,1962,1962.0,TA,864.0,Y,GasA,1812,0
399,65.0,8125,Pave,7,2006,2007,2007.0,Gd,1092.0,Y,GasA,1550,0
400,38.0,14963,Pave,8,1996,1996,1996.0,Gd,1260.0,Y,GasA,1288,120
401,65.0,8767,Pave,7,2005,2005,2005.0,Gd,1310.0,Y,GasA,1310,0
402,60.0,10200,Pave,5,1940,1997,1940.0,TA,672.0,Y,GasA,672,168
403,93.0,12090,Pave,8,1998,1998,1998.0,Gd,1141.0,Y,GasA,2263,144
404,69.30579531442663,10364,Pave,6,1995,1996,1995.0,Gd,806.0,Y,GasA,1572,0
405,69.30579531442663,9991,Pave,4,1976,1993,1993.0,TA,1281.0,Y,GasA,1620,120
406,51.0,10480,Pave,6,1936,1950,1936.0,TA,1064.0,Y,GasA,1639,0
407,63.0,15576,Pave,6,1915,1976,1960.0,Gd,840.0,Y,GasA,1680,0
408,109.0,14154,Pave,7,2006,2006,2006.0,Ex,1063.0,Y,GasA,2172,192
409,85.0,10800,Pave,8,2007,2008,2008.0,Ex,1034.0,Y,GasA,2078,0
411,100.0,34650,Pave,5,1955,1955,1955.0,TA,1056.0,N,GasA,1056,264
412,69.30579531442663,4403,Pave,7,2009,2009,2009.0,Ex,1470.0,Y,GasA,1478,0
413,56.0,8960,Pave,5,1927,1950,1927.0,TA,1008.0,Y,GasA,1028,0
414,59.0,11228,Pave,7,1993,1993,1993.0,Gd,1080.0,Y,GasA,2097,196
415,73.0,8899,Pave,7,2007,2007,2007.0,Gd,1340.0,Y,GasA,1340,100
416,74.0,7844,Pave,6,1978,1978,1978.0,TA,672.0,Y,GasA,1400,0
417,86.0,22420,Pave,6,1918,1950,1918.0,Gd,1370.0,N,GasW,2624,0
418,60.0,8160,Pave,5,1940,1950,1940.0,TA,756.0,N,GasA,1134,0
419,65.0,8450,Pave,5,1968,1968,1968.0,TA,1056.0,Y,GasA,1056,0
420,78.0,7060,Pave,7,1997,1998,1997.0,Gd,1344.0,Y,GasA,1344,0
421,69.30579531442663,16635,Pave,6,1977,2000,1977.0,Gd,1602.0,Y,GasA,1602,240
422,100.0,21750,Pave,5,1954,1954,1954.0,TA,988.0,Y,GasA,988,0
423,80.0,9200,Pave,8,1998,1998,1998.0,Gd,1470.0,Y,GasA,2630,0
424,72.0,9000,Pave,6,1956,1956,1956.0,Gd,1196.0,Y,GasA,1196,0
425,60.0,3378,Pave,7,1946,1992,1947.0,TA,651.0,Y,GasA,1389,0
426,69.30579531442663,12800,Pave,7,1989,1989,1989.0,Gd,1518.0,Y,GasA,1644,80
427,77.0,8593,Pave,4,1957,1957,1964.0,TA,907.0,Y,GasA,907,0
428,64.0,6762,Pave,7,2007,2007,2007.0,Gd,1208.0,Y,GasA,1208,105
429,130.0,11457,Pave,6,1988,1988,1988.0,Gd,1392.0,Y,GasA,1412,0
431,60.0,5586,Pave,6,1920,1998,1978.1134057971014,TA,901.0,Y,GasA,1198,0
432,24.0,1920,Pave,5,1971,1971,1971.0,TA,765.0,Y,GasA,1365,240
433,100.0,10839,Pave,6,1997,1998,1997.0,Gd,926.0,Y,GasA,1604,0
435,43.0,10667,Pave,7,1996,1996,1996.0,Gd,799.0,Y,GasA,1661,158
436,40.0,4400,Pave,6,1920,1950,1990.0,Fa,648.0,Y,GasA,1118,0
437,50.0,6000,Pave,6,1926,2004,1926.0,TA,884.0,Y,GasA,904,0
438,40.0,4280,Pave,5,1913,2002,1990.0,TA,440.0,N,GasA,694,0
439,67.0,12354,Pave,6,1920,2000,2005.0,TA,684.0,Y,GasA,1196,0
441,92.0,12108,Pave,4,1955,1955,1978.1134057971014,TA,1440.0,N,GasA,1440,0
442,52.0,6240,Pave,5,1930,1992,1930.0,TA,1078.0,Y,GasA,1573,0
443,53.0,3922,Pave,7,2006,2007,2007.0,Ex,1258.0,Y,GasA,1258,144
444,70.0,8750,Pave,7,1994,1995,1994.0,Gd,915.0,Y,GasA,1908,144
445,73.0,9855,Pave,6,1956,1956,1956.0,TA,1436.0,Y,GasA,1689,0
446,137.0,16492,Pave,6,1966,2002,1966.0,TA,1517.0,Y,GasA,1888,0
447,69.30579531442663,11214,Pave,7,1998,1999,1998.0,Gd,930.0,Y,GasA,1886,89
448,50.0,8600,Pave,6,1937,1950,1937.0,TA,780.0,Y,GasA,1376,0
449,50.0,6000,Pave,3,1948,2002,1981.0,TA,649.0,Y,GasA,1183,0
450,70.0,5684,Pave,6,1930,2005,1932.0,TA,813.0,Y,GasA,813,0
451,62.0,70761,Pave,7,1975,1975,1975.0,Gd,1533.0,Y,GasA,1533,200
452,69.30579531442663,9303,Pave,6,1996,1997,1996.0,Ex,872.0,Y,GasA,1756,144
453,75.0,9000,Pave,8,2008,2008,2008.0,Gd,768.0,Y,GasA,1590,0
454,63.0,9297,Pave,5,1976,1976,1976.0,TA,1728.0,Y,GasA,1728,0
455,80.0,9600,Pave,7,1973,1973,1973.0,TA,1242.0,Y,GasA,1242,0
456,34.0,4571,Pave,5,1916,1950,1916.0,TA,624.0,N,GasA,1344,0
457,69.30579531442663,53227,Pave,4,1954,1994,1954.0,Gd,1364.0,Y,GasA,1663,224
458,69.30579531442663,5100,Pave,8,1925,1996,1925.0,TA,588.0,Y,GasA,1666,192
459,69.30579531442663,7015,Pave,5,1950,1950,1950.0,TA,709.0,Y,GasA,1203,0
460,75.0,8004,Pave,8,2009,2009,2009.0,Gd,832.0,Y,GasA,1935,0
461,60.0,7200,Pave,7,1936,2007,1971.0,Gd,560.0,Y,GasA,1135,256
463,74.0,11988,Pave,6,1934,1995,1939.0,TA,715.0,Y,GasA,1660,0
464,60.0,8430,Pave,5,1978,1978,1978.1134057971014,Gd,1040.0,Y,GasA,1040,0
465,69.30579531442663,3072,Pave,7,2004,2004,2004.0,Gd,1375.0,Y,GasA,1414,144
466,85.0,10628,Pave,7,1970,1970,1970.0,TA,1277.0,Y,GasA,1277,0
467,79.0,9480,Pave,5,1942,1995,1942.0,TA,728.0,Y,GasA,1644,168
468,98.0,11428,Pave,8,2006,2006,2006.0,Gd,1626.0,Y,GasA,1634,0
469,76.0,9291,Pave,6,1993,1993,1993.0,Gd,832.0,Y,GasA,1710,144
470,69.30579531442663,6820,Pave,8,1985,1985,1985.0,Gd,1488.0,Y,GasA,1502,0
471,92.0,11952,Pave,7,1977,1977,1977.0,Gd,808.0,Y,GasA,1969,0
472,35.0,3675,Pave,6,2005,2005,2005.0,Gd,547.0,Y,GasA,1072,0
473,110.0,14977,Pave,8,2006,2007,2006.0,Ex,1976.0,Y,GasA,1976,250
474,41.0,5330,Pave,8,2000,2000,2000.0,Gd,1494.0,Y,GasA,1652,96
475,80.0,8480,Pave,5,1963,1963,1996.0,TA,970.0,Y,GasA,970,0
476,75.0,13125,Pave,6,1997,1998,1997.0,Gd,1478.0,Y,GasA,1493,140
478,79.0,10637,Pave,8,2007,2008,2007.0,Ex,1705.0,Y,GasA,1718,208
479,50.0,5925,Pave,4,1937,2000,1995.0,Fa,907.0,Y,GasA,1131,0
481,72.0,11846,Pave,9,2003,2004,2003.0,Ex,1792.0,Y,GasA,1792,206
482,50.0,2500,Pave,7,1915,2005,1915.0,TA,910.0,Y,GasA,1826,0
483,32.0,4500,Pave,6,1998,1998,1998.0,Ex,1216.0,Y,GasA,1216,0
484,69.30579531442663,7758,Pave,5,1962,2001,1963.0,TA,999.0,Y,GasA,999,0
485,80.0,9600,Pave,5,1950,2007,1950.0,TA,1113.0,Y,GasA,1113,0
486,79.0,10289,Pave,5,1965,1965,1965.0,TA,1073.0,Y,GasA,1073,0
487,70.0,12243,Pave,5,1971,1971,1971.0,Gd,1484.0,Y,GasA,1484,224
490,69.30579531442663,2665,Pave,5,1976,1976,1976.0,Gd,264.0,Y,GasA,1304,141
491,79.0,9490,Pave,6,1941,1950,1941.0,TA,806.0,Y,GasA,1578,0
492,105.0,15578,Pave,6,2006,2006,2006.0,Gd,728.0,Y,GasA,1456,0
493,70.0,7931,Pave,5,1960,1960,1964.0,TA,1269.0,Y,GasA,1269,0
494,50.0,5784,Pave,5,1938,1996,1938.0,Fa,190.0,Y,GasA,886,144
497,60.0,9120,Pave,7,1925,1950,1925.0,TA,1026.0,Y,GasA,1820,0
498,65.0,7800,Pave,5,1967,2004,1967.0,TA,864.0,Y,GasA,899,64
499,70.0,7535,Pave,5,1958,1985,1958.0,TA,912.0,Y,GasA,912,12
501,75.0,9803,Pave,7,2005,2005,2005.0,Gd,866.0,Y,GasA,1768,0
502,70.0,9170,Pave,5,1965,1965,1965.0,TA,1214.0,Y,GasA,1214,0
503,100.0,15602,Pave,7,1959,1997,1959.0,TA,1501.0,Y,GasA,1801,0
504,24.0,2308,Pave,6,1974,1974,1974.0,TA,855.0,Y,GasA,1322,260
505,60.0,7596,Pave,5,1952,1952,1952.0,TA,960.0,Y,GasA,1960,0
506,80.0,9554,Pave,8,1993,1994,1993.0,Gd,777.0,Y,GasA,1911,182
507,75.0,7862,Pave,6,2009,2009,2009.0,Gd,1218.0,Y,GasA,1218,0
508,60.0,9600,Pave,7,1928,2005,1928.0,TA,689.0,Y,GasA,1378,0
509,80.0,9600,Pave,5,1959,1959,1959.0,TA,1041.0,Y,GasA,1041,224
510,75.0,14559,Pave,5,1951,2000,1951.0,TA,1008.0,Y,GasA,1363,324
511,40.0,6792,Pave,7,2005,2006,2005.0,Gd,1368.0,Y,GasA,1368,132
512,70.0,9100,Pave,5,1958,1958,1964.0,TA,864.0,Y,GasA,864,0
513,71.0,9187,Pave,6,1983,1983,1983.0,TA,1084.0,Y,GasA,1080,120
514,55.0,10594,Pave,5,1926,1950,1926.0,TA,768.0,N,Grav,789,0
515,94.0,12220,Pave,10,2009,2009,2009.0,Ex,2006.0,Y,GasA,2020,156
516,69.30579531442663,10448,Pave,6,1972,1972,1972.0,TA,689.0,Y,GasA,2119,0
517,79.0,10208,Pave,7,1996,1997,1996.0,Gd,1264.0,Y,GasA,2344,220
518,69.30579531442663,9531,Pave,6,1998,1998,1998.0,Gd,794.0,Y,GasA,1796,0
519,53.0,10918,Pave,7,1926,2004,1926.0,Gd,1276.0,Y,GasA,2080,0
521,90.0,11988,Pave,6,1957,1957,1957.0,TA,1244.0,Y,GasA,1244,0
522,50.0,5000,Pave,6,1947,1950,1950.0,TA,1004.0,Y,GasA,1664,0
524,95.0,11787,Pave,7,1996,1997,1996.0,Gd,1379.0,Y,GasA,2398,239
525,62.0,7500,Pave,7,2005,2005,2005.0,Gd,1257.0,Y,GasA,1266,38
526,70.0,13300,Pave,5,1956,2000,1956.0,Gd,928.0,Y,GasA,928,261
528,58.0,9098,Pave,4,1920,2002,1978.1134057971014,TA,528.0,Y,GasA,605,0
529,69.30579531442663,32668,Pave,6,1957,1975,1975.0,TA,2035.0,Y,GasA,2515,0
530,85.0,10200,Pave,6,1988,1989,1988.0,Gd,1461.0,Y,GasA,1509,224
531,60.0,6155,Pave,6,1920,1999,1920.0,Fa,611.0,Y,GasA,1362,0
534,74.0,9056,Pave,8,2004,2004,2004.0,Ex,707.0,Y,GasA,1414,100
535,70.0,7000,Pave,5,1910,1991,1978.1134057971014,Gd,1117.0,Y,GasA,1347,85
536,57.0,8924,Pave,7,1998,1999,1998.0,Gd,880.0,Y,GasA,1724,120
537,69.30579531442663,12735,Pave,4,1972,1972,1980.0,TA,864.0,Y,GasA,864,216
538,69.30579531442663,11553,Pave,5,1968,1968,1968.0,TA,1051.0,Y,GasA,1159,466
539,69.30579531442663,11423,Pave,8,2001,2002,2001.0,Gd,1581.0,Y,GasA,1601,180
540,85.0,14601,Pave,9,2006,2006,2006.0,Ex,1838.0,Y,GasA,1838,270
541,69.30579531442663,11000,Pave,8,2000,2000,2000.0,Gd,969.0,Y,GasA,2285,0
542,78.0,10140,Pave,7,1998,1999,1998.0,Ex,1650.0,Y,GasA,1680,78
543,34.0,4058,Pave,7,1998,1998,1998.0,Gd,723.0,Y,GasA,767,120
544,58.0,17104,Pave,7,2006,2006,2006.0,Gd,654.0,Y,GasA,1496,100
545,69.30579531442663,13837,Pave,7,1988,1988,1988.0,Gd,1204.0,Y,GasA,2183,0
546,70.0,8737,Pave,6,1923,1950,1950.0,Gd,1065.0,Y,GasA,1635,0
547,54.0,7244,Pave,5,1970,1970,1987.0,Gd,768.0,Y,GasA,768,104
548,49.0,8235,Pave,5,1955,1995,1963.0,TA,825.0,Y,GasA,825,140
549,75.0,9375,Pave,7,2003,2004,2003.0,Gd,912.0,Y,GasA,2094,182
550,53.0,4043,Pave,6,1977,1977,1977.0,Gd,1069.0,Y,GasA,1069,0
551,50.0,6000,Pave,5,1957,1957,1957.0,TA,928.0,Y,GasA,928,0
552,87.0,11146,Pave,8,2006,2006,2006.0,Ex,1709.0,Y,GasA,1717,169
554,85.0,10625,Pave,7,2003,2004,2003.0,Gd,998.0,Y,GasA,2046,320
555,58.0,6380,Pave,5,1922,1950,1922.0,TA,993.0,Y,GasA,1048,0
556,69.0,14850,Pave,5,1957,1957,1957.0,TA,1092.0,Y,GasA,1092,268
557,60.0,11040,Pave,4,1920,1950,1994.0,TA,637.0,Y,GasA,1336,0
558,57.0,21872,Pave,7,1996,1997,1996.0,Gd,729.0,Y,GasA,1446,264
559,69.30579531442663,3196,Pave,7,2003,2004,2003.0,Gd,1374.0,Y,GasA,1557,143
560,69.30579531442663,11341,Pave,5,1957,1996,1957.0,Gd,1392.0,Y,GasA,1392,0
561,77.0,10010,Pave,5,1974,1975,1975.0,Gd,1389.0,Y,GasA,1389,240
562,63.0,13907,Pave,5,1940,1969,1978.1134057971014,TA,996.0,Y,GasA,996,144
563,66.0,21780,Pave,6,1918,1950,1955.0,Gd,1163.0,Y,GasA,1674,72
564,69.30579531442663,13346,Pave,7,1992,2000,1992.0,Gd,1095.0,Y,GasA,2295,0
565,66.0,6858,Pave,6,1915,1950,1920.0,Gd,806.0,N,GasA,1647,0
566,77.0,11198,Pave,9,2005,2007,2005.0,Gd,1122.0,Y,GasA,2504,144
567,70.0,10171,Pave,7,2004,2004,2004.0,Gd,1517.0,Y,GasA,1535,0
568,79.0,12327,Pave,8,1983,2009,1983.0,Gd,1496.0,Y,GasA,2132,349
569,69.30579531442663,7032,Pave,5,1979,1979,1979.0,Gd,943.0,Y,GasA,943,42
570,74.0,13101,Pave,5,1965,1965,1987.0,TA,1728.0,Y,GasA,1728,0
571,60.0,7332,Pave,6,1959,1959,1959.0,TA,864.0,Y,GasA,864,168
572,83.0,13159,Pave,7,2009,2009,2009.0,Ex,846.0,Y,GasA,1692,208
573,76.0,9967,Pave,7,2000,2000,2000.0,Gd,384.0,Y,GasA,1430,100
574,70.0,10500,Pave,5,1971,2005,1971.0,TA,372.0,Y,GasA,1109,35
575,80.0,8480,Pave,5,1947,1950,1947.0,TA,832.0,Y,GasA,1216,158
576,52.0,6292,Pave,7,1928,1950,1928.0,TA,861.0,Y,GasA,1477,0
577,96.0,11777,Pave,5,1966,1966,1966.0,TA,1164.0,Y,GasA,1320,160
578,34.0,3604,Pave,7,2007,2007,2007.0,Gd,689.0,Y,GasA,1392,0
579,81.0,12150,Pave,5,1954,1954,1954.0,TA,1050.0,N,GasA,1795,0
580,69.30579531442663,14585,Pave,6,1960,1987,1960.0,TA,1144.0,Y,GasA,1429,216
581,98.0,12704,Pave,8,2008,2009,2009.0,Ex,2042.0,Y,GasA,2042,0
582,81.0,11841,Grvl,6,1990,1990,1978.1134057971014,Gd,816.0,Y,GasA,816,0
584,51.0,6120,Pave,4,1935,1995,1935.0,TA,884.0,Y,GasA,1573,0
585,88.0,11443,Pave,8,2005,2006,2005.0,Ex,1868.0,Y,GasA,2028,326
586,55.0,10267,Pave,6,1918,2000,1961.0,TA,816.0,Y,GasA,838,0
587,74.0,8740,Pave,5,1982,1982,1996.0,TA,840.0,Y,GasA,860,0
588,65.0,25095,Pave,5,1968,2003,1968.0,TA,1437.0,Y,GasA,1473,0
589,50.0,9100,Pave,5,1930,1960,1988.0,TA,742.0,Y,GasA,935,0
590,64.0,8320,Pave,7,2004,2004,2004.0,Gd,770.0,Y,GasA,1582,0
592,60.0,6600,Pave,5,1982,2003,1985.0,TA,816.0,Y,GasA,816,0
593,69.30579531442663,4435,Pave,6,2003,2003,2003.0,Gd,848.0,Y,GasA,848,140
594,88.0,7990,Pave,5,1975,1975,1981.0,Gd,924.0,Y,GasA,924,0
595,69.0,11302,Pave,8,2005,2006,2005.0,Gd,1814.0,Y,GasA,1826,180
596,60.0,3600,Pave,6,1910,1993,1930.0,TA,684.0,N,GasA,1368,0
597,53.0,3922,Pave,7,2006,2007,2006.0,Ex,1258.0,Y,GasA,1402,120
598,80.0,12984,Pave,5,1977,1977,1977.0,Gd,1430.0,Y,GasA,1647,0
599,24.0,1950,Pave,6,1980,1980,1980.0,Gd,716.0,Y,GasA,1556,161
600,74.0,10927,Pave,8,2005,2005,2003.0,Gd,1058.0,Y,GasA,1904,179
601,50.0,9000,Pave,6,1937,1950,1979.0,TA,780.0,Y,GasA,1375,0
602,80.0,10041,Pave,8,1992,1992,1992.0,Gd,908.0,Y,GasA,1915,120
603,30.0,3182,Pave,7,2004,2005,2004.0,Gd,600.0,Y,GasA,1200,0
604,88.0,12803,Pave,7,2002,2002,2002.0,Gd,1494.0,Y,GasA,1494,192
605,85.0,13600,Pave,7,1965,1990,1965.0,TA,768.0,Y,GasA,1986,0
606,82.0,12464,Pave,5,1996,1996,2000.0,Gd,1040.0,Y,GasA,1040,168
607,78.0,7800,Pave,5,1948,2002,1948.0,TA,896.0,Y,GasA,2008,103
609,61.0,7943,Pave,4,1961,1961,1961.0,TA,1029.0,Y,GasA,1029,64
610,69.30579531442663,11050,Pave,9,2000,2000,2000.0,Ex,1440.0,Y,GasA,2153,253
611,69.30579531442663,10395,Pave,6,1978,1978,1978.0,Gd,1032.0,Y,GasA,1032,0
612,69.30579531442663,11885,Pave,8,2001,2001,2001.0,Gd,1299.0,Y,GasA,1872,160
613,70.0,8402,Pave,5,2007,2007,1978.1134057971014,Gd,1120.0,Y,GasA,1120,0
615,80.0,8800,Pave,6,1963,1963,1963.0,TA,936.0,Y,GasA,1054,120
616,69.30579531442663,7861,Pave,6,2002,2003,2002.0,Gd,783.0,Y,GasA,1509,100
617,59.0,7227,Pave,6,1954,1954,1962.0,TA,832.0,Y,GasA,832,0
618,90.0,11694,Pave,9,2007,2007,2007.0,Ex,1822.0,Y,GasA,1828,0
619,85.0,12244,Pave,8,2003,2003,2003.0,Gd,1482.0,Y,GasA,2262,168
621,90.0,10800,Pave,6,1974,1997,1974.0,TA,1522.0,Y,GasA,2614,38
622,71.0,7064,Pave,5,1977,1977,1986.0,TA,980.0,Y,GasA,980,192
623,69.30579531442663,2117,Pave,6,2000,2000,2000.0,Gd,756.0,Y,GasA,1512,0
624,80.0,10400,Pave,6,1972,1972,1972.0,TA,732.0,Y,GasA,1790,148
625,87.0,10000,Pave,6,1962,1962,1962.0,TA,1116.0,Y,GasA,1116,0
626,69.30579531442663,12342,Pave,5,1960,1978,1960.0,TA,978.0,Y,GasA,1422,0
627,80.0,9600,Pave,6,1955,1972,1955.0,TA,1156.0,Y,GasA,1520,0
628,70.0,11606,Pave,5,1969,1969,1969.0,Gd,1040.0,Y,GasA,2080,335
629,82.0,9020,Pave,6,1964,1964,1964.0,TA,1248.0,Y,GasA,1350,176
631,34.0,4590,Pave,8,2006,2006,2006.0,Gd,1554.0,Y,GasA,1554,156
632,85.0,11900,Pave,7,1977,1977,1977.0,TA,1386.0,Y,GasA,1411,192
633,80.0,9250,Pave,5,1954,2005,1954.0,TA,1056.0,Y,GasA,1056,390
634,64.0,6979,Pave,6,1980,1980,1980.0,TA,1056.0,Y,GasA,1056,264
637,50.0,6000,Pave,5,1954,1954,1954.0,TA,811.0,Y,GasA,1387,0
638,67.0,8777,Pave,5,1910,1950,1978.1134057971014,Fa,796.0,Y,GasA,796,328
639,53.0,3982,Pave,8,2006,2006,2006.0,Gd,1520.0,Y,GasA,1567,312
640,62.0,12677,Pave,8,2003,2004,2003.0,Ex,1518.0,Y,GasA,1518,185
641,69.30579531442663,7050,Pave,7,2001,2001,2001.0,Gd,1057.0,Y,GasA,1929,0
643,80.0,10793,Pave,5,1969,1969,1969.0,TA,780.0,Y,GasA,1620,208
644,85.0,9187,Pave,9,2009,2009,2009.0,Ex,1766.0,Y,GasA,1766,195
645,69.30579531442663,10530,Pave,6,1971,1971,1979.0,TA,981.0,Y,GasA,981,0
647,85.0,10452,Pave,6,1953,1953,1953.0,TA,1094.0,Y,GasA,1094,0
648,70.0,7700,Pave,6,1966,1966,1966.0,TA,756.0,Y,GasA,1839,0
650,65.0,8125,Pave,7,2007,2007,2007.0,Gd,813.0,Y,GasA,1665,0
651,60.0,9084,Pave,4,1940,1950,1940.0,TA,755.0,Y,GasA,1510,120
652,70.0,8750,Pave,7,1996,1996,1996.0,Gd,880.0,Y,GasA,1716,0
653,60.0,10320,Pave,6,1906,1995,1906.0,TA,756.0,Y,GasA,1469,57
654,91.0,10437,Pave,8,1995,1995,1995.0,Gd,2109.0,Y,GasA,2113,236
656,72.0,10007,Pave,5,1959,2006,1959.0,TA,1053.0,Y,GasA,1053,0
657,60.0,7200,Pave,7,1931,2000,1931.0,Gd,776.0,Y,GasA,1502,0
658,78.0,17503,Pave,6,1948,1950,1948.0,TA,912.0,Y,GasA,1458,192
659,75.0,9937,Pave,5,1964,1999,1968.0,TA,1486.0,Y,GasA,1486,0
660,69.30579531442663,12384,Pave,7,1976,1976,1976.0,Gd,793.0,Y,GasA,1935,0
662,120.0,13560,Pave,6,1968,1968,1968.0,Fa,1392.0,Y,GasA,1392,0
663,90.0,10012,Pave,4,1972,1972,1974.0,Gd,1138.0,Y,GasA,1181,0
664,49.0,20896,Pave,8,2005,2006,2005.0,Ex,2077.0,Y,GasA,2097,192
665,106.0,11194,Pave,8,2000,2000,2000.0,Gd,1406.0,Y,GasA,1936,188
666,69.30579531442663,18450,Pave,6,1965,1979,1965.0,Gd,1021.0,Y,GasA,2380,0
667,65.0,8125,Pave,6,1994,1998,1994.0,Gd,1408.0,Y,GasA,1679,224
668,69.30579531442663,14175,Pave,5,1956,1987,1999.0,TA,1188.0,Y,GasA,1437,304
669,80.0,11600,Pave,4,1922,1950,1922.0,Fa,700.0,Y,GasA,1180,0
670,64.0,8633,Pave,6,2005,2005,2005.0,Gd,738.0,Y,GasA,1476,100
671,54.0,6629,Pave,6,1925,1950,1930.0,TA,672.0,N,GasA,1369,147
672,69.30579531442663,11250,Pave,6,1977,1977,1977.0,Gd,1208.0,Y,GasA,1208,198
673,110.0,14442,Pave,6,1957,2004,1957.0,TA,1477.0,Y,GasA,1839,0
674,80.0,9200,Pave,6,1965,1965,1965.0,TA,1136.0,Y,GasA,1136,426
