,house_area,quality,year_built,year_remodel_add,garage_year_build,number_of_bathrooms,basement_area,has_Fireplaces_or_not,Total_rooms,grade_living_area,garage_area,garage_capacite,SalePrice
445,6120,5,1936,1950,1995,1,927,0,5,1539,576,2,141500
446,6120,5,1938,1950,1938,2,952,1,6,1582,250,1,168202
447,6120,5,1939,1950,1939,1,884,0,5,884,240,1,162246
449,6120,6,1923,1950,1923,1,1124,1,5,1068,288,1,155134
450,6120,7,1929,2001,1991,1,832,0,5,854,576,2,132000
451,6120,7,1931,1950,1931,2,952,2,8,1774,468,2,129900
452,6125,5,1939,1998,1939,2,728,0,6,1274,224,1,171112
453,6130,5,1924,1950,1978,1,784,0,5,784,0,0,109500
454,6155,6,1920,1999,1920,2,611,0,6,1362,502,2,128000
455,6171,6,1925,1990,1925,2,976,1,7,1608,216,1,137450
456,6173,5,1967,1967,1967,1,876,0,6,902,288,1,125500
457,6180,6,1926,1950,1926,1,960,1,5,986,180,1,102000
458,6191,5,1941,1950,1941,1,824,0,6,1288,240,1,194255
460,6221,5,1941,1950,1966,2,728,0,5,1355,528,2,179036
461,6240,4,1925,1950,1962,1,780,0,5,1208,539,2,103000
462,6240,4,1929,1950,1990,1,704,0,6,1136,336,1,162690
464,6240,5,1928,1950,1928,1,1042,1,8,1576,225,1,149000
465,6240,5,1930,1950,1930,2,928,1,7,1536,480,2,181922
466,6240,5,1930,1992,1930,1,966,1,6,1426,230,1,175758
467,6240,5,1930,1992,1930,2,1078,1,8,1573,360,2,162900
468,6240,5,1936,1950,1936,1,896,0,7,1344,240,1,115000
469,6240,5,1936,1980,1979,1,528,0,5,1040,624,2,157580
470,6240,5,1939,1952,1939,1,672,0,7,1322,280,1,189034
471,6240,6,1931,1950,1978,1,884,1,6,1367,560,1,127500
472,6240,6,1934,1950,1985,1,816,1,6,1176,528,2,114500
473,6240,6,1938,1950,1968,1,861,1,6,1409,528,2,171339
474,6240,7,1939,1950,1939,2,989,1,7,2009,400,2,181507
475,6240,8,2006,2006,2006,2,1324,1,6,1324,550,2,164692
476,6240,8,2006,2006,2006,2,1324,1,6,1324,550,2,254000
477,6240,8,2006,2007,2007,2,1342,1,6,1342,550,2,156060
478,6240,8,2006,2007,2007,2,1342,1,6,1342,550,2,160480
479,6264,8,1997,1997,1997,1,1664,1,6,1682,528,2,148356
480,6270,5,1949,1950,1949,2,1001,0,8,2002,871,3,145000
481,6285,5,1977,1977,1979,1,894,0,5,894,308,1,158151
482,6285,6,1976,1976,1976,1,960,1,7,1044,528,2,172532
483,6289,6,2005,2006,2005,2,1362,1,6,1362,460,2,161474
484,6291,6,1930,1950,1930,1,768,0,4,768,440,2,148409
485,6292,6,1930,1950,1925,1,768,0,4,790,160,1,91000
486,6292,7,1928,1950,1928,2,861,1,6,1477,216,1,145000
487,6300,5,1938,1950,1938,1,832,2,7,1268,250,1,174081
488,6300,6,1914,2001,1978,2,742,1,9,1484,0,0,128000
490,6305,5,1938,1950,1938,1,920,1,5,954,240,1,119750
491,6305,6,1975,1975,1975,1,1008,1,5,1096,352,1,172088
494,6360,5,1942,1950,1942,1,835,2,7,1453,240,1,168882
495,6360,5,1963,1963,1963,1,864,0,5,864,276,1,168468
496,6371,7,2009,2010,2010,2,1358,1,6,1358,484,2,224000
497,6373,9,2006,2006,2006,2,1666,1,6,1666,575,2,162537
498,6380,5,1922,1950,1922,1,993,1,5,1048,280,1,113000
499,6390,6,1954,1954,1954,1,936,0,4,984,280,1,160775
500,6400,5,1959,2000,1959,1,960,0,4,960,392,1,168322
502,6406,5,1939,1950,1939,1,690,1,7,1558,400,2,177604
503,6410,4,1958,1958,1977,1,960,0,5,960,0,0,171190
504,6410,4,1959,1959,1959,1,876,0,5,876,320,1,169878
505,6420,5,1952,1952,1952,1,980,0,6,1148,308,1,123500
506,6430,6,1945,1950,1945,1,780,0,6,1340,440,1,177030
507,6435,6,1939,1950,1939,1,972,1,6,1577,312,1,140200
508,6442,8,2006,2006,2006,2,1370,1,6,1370,484,2,202500
511,6472,9,2008,2008,2008,2,1451,1,6,1456,539,2,157829
512,6488,5,1942,1950,1942,1,799,2,6,1150,215,1,172725
513,6490,5,1983,1983,1983,1,816,0,4,816,264,1,158762
514,6500,6,1976,1976,1991,1,1127,1,6,1127,480,2,173163
515,6563,8,1985,1985,1985,2,1742,1,5,1742,564,2,275000
516,6565,4,1957,1980,1985,1,1073,0,6,1073,720,2,177503
518,6600,5,1962,1962,1962,1,864,0,5,864,294,1,168715
519,6600,5,1962,1962,1962,1,894,0,5,894,308,1,109500
520,6600,5,1982,2003,1985,1,816,0,4,816,816,2,138000
521,6600,5,1982,2005,1982,1,845,0,6,845,264,1,175569
522,6600,5,1982,2008,1982,1,816,1,5,816,264,1,130500
523,6615,6,1923,1950,1923,1,1022,1,6,1432,216,1,176911
525,6629,6,1925,1950,1930,2,672,0,6,1369,300,1,103600
526,6710,6,1996,1997,1996,0,920,0,3,936,460,2,135751
527,6718,8,2001,2001,2001,2,1267,0,5,1312,471,2,156794
528,6720,6,1921,1950,1992,1,585,1,7,1436,228,1,173388
529,6723,5,1971,1971,1977,1,796,0,5,796,0,0,165643
531,6760,5,1962,1962,1962,1,896,1,6,936,288,1,180096
532,6762,7,2006,2006,2006,2,1187,0,6,1208,632,2,206000
533,6762,7,2006,2006,2006,2,1286,1,6,1294,662,2,193879
534,6762,7,2007,2007,2007,2,1208,0,6,1208,628,2,195400
535,6762,7,2007,2007,2007,2,1282,1,6,1290,662,2,159505
536,6768,6,1961,1996,1962,1,912,0,5,912,288,1,142000
537,6780,6,1935,1982,1978,1,520,0,5,754,0,0,84500
538,6792,7,2005,2006,2005,2,1368,1,6,1368,474,2,202665
539,6820,8,1985,1985,1985,1,1488,0,4,1502,528,2,212000
540,6821,6,1921,2005,1994,2,651,1,8,1298,240,1,164731
542,6853,8,2001,2002,2001,2,1267,0,6,1296,471,2,220000
543,6854,5,1925,1994,1969,1,756,1,6,1060,308,1,151520
544,6858,6,1915,1950,1920,1,806,0,6,1647,216,1,128000
545,6860,5,1956,1956,1964,1,1008,0,6,1008,308,1,182503
546,6876,6,1927,1950,1927,2,720,0,8,1930,316,1,189595
547,6876,6,1938,1958,1938,2,1272,1,9,1969,400,2,193808
549,6882,6,1914,2006,1978,1,684,0,7,1355,0,0,127000
550,6897,5,1962,2010,1962,1,1040,0,6,1040,260,1,127000
551,6900,5,1940,1955,1966,1,740,1,4,778,924,1,120500
552,6900,6,1938,2000,1938,1,827,0,6,1251,240,1,167735
553,6904,6,2005,2005,2005,2,1358,1,6,1358,484,2,163099
554,6911,5,1924,1950,1965,1,1145,0,5,1301,440,2,100000
555,6930,5,1958,1958,1958,1,1062,0,6,1352,288,1,130000
556,6931,4,1955,1955,1977,1,784,0,4,784,0,0,160735
557,6931,7,2003,2004,2003,2,746,1,7,1656,397,2,165400
558,6950,5,1979,1979,1979,1,914,0,5,914,444,2,165399
559,6951,5,1984,1985,1984,1,876,0,5,923,264,1,119500
560,6953,5,1971,2004,1971,1,864,0,5,874,352,1,173364
561,6955,7,2005,2006,2005,2,1368,1,6,1368,474,2,202500
562,6956,4,1948,1950,1948,1,624,0,5,936,265,1,174750
563,6960,4,1970,1970,1989,1,864,0,5,864,660,2,120500
564,6960,7,1940,1998,1940,1,680,2,6,1302,224,1,163899
565,6970,4,1961,1961,1961,1,1040,0,5,1120,544,2,129000
566,6978,5,1926,1980,1981,1,850,0,5,960,576,2,160620
567,6979,6,1980,1980,1980,0,1056,0,4,1056,576,2,144000
568,6993,5,1961,1994,1961,1,912,1,6,1236,288,1,135000
570,7000,5,1960,2002,1960,1,1010,0,6,1134,254,1,135000
572,7000,5,1961,1961,1961,1,1150,0,6,1150,288,1,178152
573,7000,5,1962,1962,1962,1,864,0,5,864,336,1,172627
574,7000,5,1962,1962,1977,1,1025,0,6,1025,0,0,173732
575,7000,5,1978,2005,1978,1,864,0,6,864,336,1,136500
576,7000,6,1924,1950,1924,2,617,0,6,1310,398,1,112000
577,7000,6,1926,1950,1950,1,861,0,6,1285,506,2,175942
578,7000,6,1926,1998,1926,1,894,0,5,919,195,1,163081
579,7000,6,1940,1950,1965,1,720,0,6,1215,720,2,175044
580,7000,7,1926,1997,1926,1,624,2,6,1479,312,1,175942
581,7000,7,2003,2003,2003,2,926,1,7,1884,581,2,174354
582,7006,6,1925,1950,1985,2,768,1,6,1236,384,1,177473
585,7010,5,1935,1950,1950,2,1024,1,6,1738,240,1,176376
586,7015,5,1950,1950,1950,1,709,1,5,1203,352,1,110000
587,7018,5,1979,1979,1979,0,1086,2,6,1224,528,2,153337
593,7020,7,1997,1997,1997,2,1288,0,8,1368,784,4,169335
594,7023,5,2005,2006,2005,2,734,0,6,1408,489,2,175090
595,7024,4,2005,2005,2005,1,1132,0,5,1132,451,2,176000
596,7024,5,2005,2006,2005,1,1090,0,5,1090,450,2,157000
597,7030,4,1925,1950,1925,1,641,0,4,641,272,1,160515
598,7032,5,1979,1979,1979,1,943,2,4,943,600,2,135960
599,7038,4,1970,1970,2001,1,864,0,5,864,576,2,177743
600,7040,5,1979,1979,1979,0,1094,2,6,1229,672,2,161157
601,7050,7,2001,2001,2001,2,1057,1,7,1929,650,2,226000
602,7052,7,2005,2005,2005,2,1364,1,6,1364,484,2,185850
603,7056,6,1963,1963,1963,1,780,1,8,1796,483,2,140000
604,7060,7,1997,1998,1997,2,1344,0,8,1344,784,4,206300
605,7064,5,1977,1977,1986,1,980,0,6,980,484,2,135000
606,7082,5,1916,1995,1978,2,686,0,10,1928,0,0,160000
607,7094,5,1966,1966,1966,1,894,0,5,894,384,1,125000
608,7100,5,1957,1957,1957,1,816,0,5,816,308,1,129900
609,7111,5,1928,1983,1992,1,1008,1,5,1143,288,1,163299
610,7128,7,1941,1950,1941,2,918,2,7,1646,240,1,164000
611,7130,5,1967,1967,1967,1,864,0,5,864,312,1,161334
612,7132,8,2006,2006,2006,2,1370,1,6,1370,484,2,158230
613,7134,5,1955,1955,1962,1,384,1,6,1360,572,2,130000
614,7136,6,1946,1950,1946,2,979,0,8,1958,492,2,145000
615,7150,4,1955,1955,2002,1,1190,0,7,1540,352,1,191930
616,7150,5,1962,1962,1962,1,912,0,6,912,252,1,179069
617,7150,5,1966,1966,1974,1,988,0,5,988,360,1,181969
618,7150,5,1967,1967,1967,1,892,0,5,892,288,1,100000
619,7153,6,1991,1991,1991,2,1278,0,6,1294,496,2,179200
620,7153,6,1992,1992,1992,2,761,0,7,1603,484,2,175900
621,7155,6,1926,1991,1926,1,686,1,6,1461,225,1,177559
622,7155,7,1918,1990,1918,1,600,1,6,1228,215,1,173554
623,7162,5,1966,1966,1966,1,876,0,6,904,408,1,109900
624,7162,7,2003,2004,2003,2,796,1,8,1724,616,2,176261
625,7175,6,1984,1984,1984,1,744,0,4,752,264,1,125000
626,7175,6,1990,1991,1990,2,1332,0,5,1332,542,2,157003
627,7175,6,1990,1991,1990,2,1398,0,5,1398,542,2,165220
628,7175,6,1991,1991,1991,2,1217,0,5,1217,484,2,164115
629,7176,6,1978,1978,1979,1,960,1,6,1040,616,2,178498
630,7180,5,1972,1972,1989,1,864,0,5,864,352,1,127000
631,7180,8,2001,2002,2001,2,1568,1,6,1568,564,2,180716
634,7200,4,1950,1950,1952,1,576,0,5,864,528,1,166374
636,7200,4,1971,1971,1995,1,864,0,5,874,576,2,174126
637,7200,4,1972,2006,1975,1,385,0,5,875,728,2,180962
639,7200,5,1920,1996,1935,1,530,0,6,1111,288,1,101000
640,7200,5,1937,1950,1939,1,731,2,7,1768,240,1,175000
641,7200,5,1938,1995,1951,1,803,0,6,1360,297,1,125500
642,7200,5,1940,1950,1940,1,808,2,5,1072,379,2,162162
643,7200,5,1940,1992,1940,1,788,2,4,804,240,1,119000
646,7200,5,1950,1950,1950,1,864,1,6,1238,357,1,182067
647,7200,5,1950,1950,1950,1,876,0,6,988,276,1,119000
648,7200,5,1950,1982,1950,1,1208,0,7,1904,240,1,138000
649,7200,5,1950,2002,1980,1,864,0,5,864,720,2,129000
650,7200,5,1951,1951,1972,1,876,1,5,876,576,2,157950
651,7200,5,1951,2000,2005,1,900,0,5,900,576,2,134800
652,7200,5,1952,1952,1952,1,732,0,4,732,240,1,164786
653,7200,5,1954,1954,1954,1,825,0,4,825,350,1,163474
654,7200,5,1955,1967,1955,1,768,0,6,1588,480,2,172330
656,7200,5,1972,1972,1973,1,780,0,4,780,352,1,124900
657,7200,5,1972,1972,1977,1,864,0,5,864,297,1,174126
658,7200,5,1972,1972,1985,1,894,0,6,894,600,2,123000
659,7200,5,1972,2000,1977,1,864,0,5,864,576,2,179857
660,7200,5,1972,2003,1974,1,768,0,5,768,396,1,133900
661,7200,5,1980,1980,1980,1,936,0,4,936,672,2,140000
663,7200,6,1915,1950,1974,2,663,1,7,1595,528,2,175231
664,7200,6,1925,1992,1993,1,1040,0,5,1040,320,2,163474
665,7200,6,1930,1950,1930,1,984,0,6,984,308,1,174126
666,7200,6,1954,1954,1954,1,854,0,6,1278,240,1,186711
667,7200,6,1976,1976,1977,1,1041,1,6,1125,352,1,125000
668,7200,6,1976,2001,1976,1,684,1,6,1398,440,2,171226
669,7200,6,2006,2006,2006,2,1262,0,5,1262,572,2,185000
671,7200,7,1920,1950,1989,1,596,0,8,1762,576,2,157000
672,7200,7,1931,2000,1931,1,776,1,6,1502,270,1,149000
673,7200,7,1936,2007,1971,1,560,0,6,1135,576,2,155000
674,7200,7,2006,2006,2006,2,1293,1,5,1301,572,2,187750
675,7207,5,1958,2008,1978,1,858,0,4,858,0,0,116500
676,7223,5,1926,1950,1973,1,1290,0,6,1422,352,1,174378
677,7226,7,2003,2003,2003,2,798,0,6,1640,595,2,183000
678,7227,6,1954,1954,1962,1,832,0,4,832,528,2,105500
679,7230,7,1927,1992,1927,2,851,1,8,1718,264,2,194297
680,7242,7,2005,2006,2005,2,1270,0,6,1270,524,2,164454
681,7244,5,1970,1970,1987,1,768,0,5,768,624,2,129500
682,7250,6,1993,1993,1993,2,1181,1,6,1190,430,2,180370
683,7252,5,1982,1982,1983,1,858,0,5,858,576,2,134900
684,7259,6,1945,2002,1945,2,1028,1,9,2320,180,1,259500
685,7264,7,1925,2007,1978,2,952,0,5,1548,672,2,205000
686,7288,5,1925,2003,1977,2,936,0,6,1601,0,0,180031
687,7288,5,1942,1950,1942,1,976,0,5,976,215,1,166548
688,7290,7,1921,1950,1921,2,1228,1,7,1424,312,1,160337
691,7301,7,2007,2008,2008,2,1350,1,6,1358,484,2,168092
692,7308,5,1920,1950,1920,1,936,1,6,1740,225,1,162582
694,7313,9,2005,2005,2005,2,1561,1,6,1561,556,2,277500
695,7314,7,2007,2007,2007,2,1232,0,6,1232,632,2,194500
696,7315,5,1958,1958,1958,1,1170,1,6,1170,338,1,173454
697,7321,7,1999,2000,1999,2,1339,0,5,1358,625,2,183410
698,7328,7,2008,2009,2008,2,1450,0,6,1450,788,3,157304
699,7332,6,1959,1959,1959,1,864,0,4,864,288,1,120000
700,7340,4,1971,1971,1979,1,858,0,4,858,684,1,110000
701,7350,5,1951,1951,1988,1,952,0,4,952,840,2,139000
702,7350,5,1958,1958,1958,1,1041,0,6,1041,294,1,171728
704,7379,8,2000,2000,2000,2,975,1,7,1848,592,2,171992
705,7380,8,1998,1998,1998,2,1418,0,5,1478,495,2,162931
706,7388,5,1959,2002,1974,1,1063,0,7,1327,624,2,150750
707,7390,5,1955,1955,1955,1,1098,0,6,1098,260,1,135000
708,7390,9,2008,2009,2008,2,1884,1,6,1884,649,2,160741
709,7392,5,1930,1995,1934,1,520,0,5,912,360,1,161642
710,7399,7,1997,1998,1997,2,975,1,7,1950,576,2,239000
711,7400,5,1984,1984,1984,1,1060,0,5,1126,506,2,159448
712,7400,7,1962,1962,1962,1,1045,0,6,1045,528,2,174519
713,7404,4,1920,1950,1920,1,861,0,5,861,288,2,167398
714,7406,7,2006,2006,2006,2,1199,0,6,1220,632,2,194000
715,7407,6,1957,1996,1957,1,912,0,6,1236,923,2,149700
716,7415,6,2004,2004,2004,2,839,1,8,1593,398,2,193000
717,7420,5,1939,1950,1939,1,991,2,5,1077,205,1,118000
718,7420,5,1962,1962,1977,1,1057,0,6,1057,576,2,132000
719,7424,5,1978,1978,1978,1,1319,2,5,1373,591,2,173186
720,7425,7,1945,1950,1945,1,672,0,8,1668,252,1,178298
721,7436,4,1960,1960,1988,1,894,1,5,894,396,2,164146
723,7440,5,1954,1954,1954,1,1089,1,5,1089,252,1,178534
724,7441,7,2006,2006,2006,2,1461,0,7,1486,566,2,177017
725,7446,4,1941,1950,1978,1,788,2,4,788,0,0,100000
726,7449,7,1930,1950,1930,1,637,1,6,1108,280,1,139400
727,7450,5,1956,1956,1966,1,894,1,6,1074,396,2,158234
728,7472,7,1972,2004,1972,1,725,0,7,1479,484,2,184000
729,7476,5,1968,1968,1991,1,1040,0,5,1040,686,2,177086
730,7480,5,1972,1972,1977,1,876,0,5,876,484,2,174401
731,7488,7,2005,2005,2005,2,1208,0,6,1208,632,2,160312
733,7500,5,1959,1994,1959,1,1246,0,6,1246,305,1,154000
734,7500,5,1959,2003,1959,1,1040,0,6,1040,286,1,178238
735,7500,5,1963,1963,1963,1,1040,0,5,1040,308,1,133000
736,7500,6,1942,1950,1942,1,771,2,7,1494,213,1,177500
737,7500,6,1947,1950,1953,1,784,0,6,1312,649,2,182450
738,7500,6,1998,1999,1998,2,952,1,7,1636,440,2,179757
739,7500,6,1999,2003,1999,3,938,1,7,2299,482,2,205895
740,7500,6,2004,2004,1977,1,1158,0,5,1158,0,0,177548
741,7500,6,2006,2007,1977,1,1100,0,6,1100,0,0,177133
742,7500,7,1999,1999,1999,2,994,1,7,1804,442,2,189000
743,7500,7,2000,2000,2000,2,814,0,7,1674,663,2,216000
744,7500,7,2002,2002,2002,2,952,1,7,1812,469,2,174026
745,7500,7,2004,2005,1978,1,1080,0,6,1080,0,0,141000
746,7500,7,2004,2005,2004,2,1221,0,6,1221,400,2,185000
747,7500,7,2005,2005,2005,2,1257,1,6,1266,453,2,176000
748,7500,7,2006,2006,1977,1,1143,0,5,1143,0,0,181553
749,7500,7,2006,2006,2006,1,1141,0,6,1141,484,2,175338
750,7500,7,2007,2008,2008,2,1218,0,6,1218,462,2,160750
751,7500,8,2000,2001,2000,2,1058,1,7,1874,588,2,172023
752,7500,8,2006,2007,2006,2,1372,1,6,1448,692,2,162062
753,7506,5,1925,1950,1932,1,747,0,5,1159,288,1,175142
754,7514,5,1967,1975,1974,1,943,1,6,1387,300,1,181373
756,7535,5,1958,1985,1958,1,912,0,5,912,297,1,120000
757,7540,6,1978,1978,1978,1,888,1,5,912,470,2,156000
758,7550,4,1920,1950,1920,2,951,0,7,1362,280,1,187193
759,7558,6,1928,1950,1929,1,896,1,9,1913,342,2,177000
760,7560,5,1958,1965,1958,1,1029,0,6,1339,294,1,139000
761,7560,5,1959,1959,1959,1,1040,0,6,1040,286,1,133700
762,7560,5,1971,1971,1977,1,864,0,5,864,576,2,175249
763,7570,6,1964,1964,1964,1,780,0,8,1806,483,2,185437
764,7577,6,2005,2006,2005,2,1362,1,6,1362,460,2,194700
765,7584,5,1953,1953,1953,1,1036,0,5,1036,312,1,176401
766,7585,5,1948,1950,1954,1,810,1,7,1456,280,1,91500
767,7588,7,1920,1950,1920,1,793,1,9,1802,216,1,200100
768,7590,5,1962,1962,1962,2,864,1,8,1812,264,1,169500
769,7590,5,1963,1963,1963,1,1117,0,6,1117,264,1,175308
770,7590,6,1966,1966,1966,1,660,1,6,1348,453,2,155000
771,7596,5,1952,1952,1952,2,960,0,10,1960,400,2,124500
772,7599,4,1982,2006,1987,1,845,0,4,845,360,2,129500
773,7609,8,1925,1997,1925,2,798,1,7,1512,180,1,176450
775,7626,5,1952,2005,1952,1,1031,0,5,1031,230,1,158995
776,7627,4,1920,1950,1977,2,600,0,8,1701,0,0,193283
777,7628,4,1940,1985,1958,2,801,0,8,1656,440,2,162107
779,7632,7,2005,2005,2005,2,784,0,7,1585,449,2,174976
780,7635,5,1960,1960,1960,1,1175,0,6,1175,484,2,174706
781,7642,7,1918,1998,1925,1,912,1,7,1426,216,1,189950
782,7655,6,1993,1994,1993,2,903,1,7,1642,392,2,178543
783,7658,9,2005,2005,2005,2,1752,1,6,1752,576,2,319900
784,7669,5,1992,1993,1998,1,828,1,5,883,698,2,162395
785,7677,5,1953,1953,1953,1,773,0,4,773,240,1,110000
786,7681,5,1921,1950,1921,1,731,1,7,1343,186,1,154900
787,7685,6,1993,1994,1993,2,697,1,6,1501,420,2,165600
788,7689,5,1972,1972,1998,1,796,0,4,796,336,1,163539
789,7692,4,1954,1954,1954,1,416,0,6,1204,312,1,182138
790,7697,7,2007,2007,2007,2,1246,0,6,1258,462,2,179731
791,7700,5,1956,1956,1993,1,301,0,6,1145,684,2,181739
792,7700,5,1972,1972,1980,1,882,0,5,882,461,2,112500
793,7700,5,1985,1986,1985,4,1216,0,10,2432,616,2,183690
794,7700,6,1966,1966,1966,1,756,1,7,1839,442,2,155000
795,7703,6,1978,1978,1978,1,450,1,6,1034,504,2,175530
796,7703,6,1992,1992,1992,2,816,0,6,1730,528,2,181262
797,7706,6,1993,1996,1993,1,384,0,5,1091,429,1,164677
798,7711,4,1977,1977,1978,2,1440,0,8,1440,0,0,150000
799,7713,7,2007,2007,2007,2,728,0,7,1456,400,2,178657
800,7728,5,1962,1962,1962,1,1106,0,6,1190,540,2,132500
801,7733,6,2005,2005,1977,1,1142,0,5,1142,0,0,172965
803,7740,9,2006,2006,2006,2,1686,1,6,1686,899,3,151951
804,7741,6,1924,1950,1995,1,1032,0,5,1032,280,1,165229
805,7742,5,1966,1966,1966,1,955,0,6,955,386,1,127000
807,7750,7,1999,2000,1999,2,384,1,7,1430,400,2,172515
808,7750,7,2000,2000,2000,2,384,1,7,1430,400,2,180000
809,7750,7,2002,2002,2002,2,707,1,6,1414,403,2,174518
810,7750,7,2003,2003,2003,2,660,0,6,1320,400,2,162000
811,7750,8,2002,2002,2002,2,408,1,7,1419,527,2,184100
812,7755,6,1918,1995,1950,2,1100,0,8,2264,408,1,189806
813,7758,5,1962,2001,1963,1,999,0,6,999,264,1,132500
814,7758,7,1931,1950,1951,1,1040,2,7,1818,240,1,169500
815,7763,5,1962,1980,1980,1,931,0,6,1283,506,2,140000
816,7777,6,1996,1996,1996,2,1491,1,7,1491,571,2,183203
818,7791,5,1963,1995,1963,1,912,0,6,912,300,1,180330
819,7793,7,1922,2005,1928,1,1108,1,8,2068,315,1,173912
820,7795,7,2004,2005,2004,2,716,1,6,1432,432,2,188500
821,7800,5,1939,1950,1939,1,793,1,5,1118,410,2,119900
822,7800,5,1948,2002,1948,3,896,0,8,2008,230,1,225000
823,7800,5,1954,1954,1954,1,1268,1,7,1268,244,1,132000
824,7800,5,1964,1964,1964,1,912,0,5,912,288,1,115000
825,7800,5,1965,1965,1979,1,828,0,6,965,300,1,119900
826,7800,5,1966,2008,1966,1,864,0,5,892,416,1,175031
827,7800,5,1967,2004,1967,1,864,0,5,899,288,1,130000
828,7800,7,2005,2005,2005,2,891,0,8,1686,462,2,176412
829,7801,6,1951,1951,1951,1,1091,1,5,1091,344,1,162447
830,7804,4,1928,1950,1981,2,1122,2,7,1981,576,2,135000
831,7804,6,1930,1950,1930,2,960,2,10,1920,480,2,191215
832,7810,4,1930,2003,1930,2,930,1,7,1755,231,1,196544
833,7819,6,1976,1976,1976,1,1029,1,6,1117,672,2,107000
834,7820,9,2007,2007,2007,2,1869,1,6,1869,617,2,318061
835,7822,6,1915,1950,1974,2,832,0,7,1338,528,2,177560
837,7830,5,1970,1970,1970,1,1180,0,6,1180,477,2,159397
838,7832,5,1968,1968,1969,1,864,0,4,864,280,1,160713
839,7837,6,1993,1994,1993,2,799,1,7,1571,380,2,178000
840,7838,5,1967,1967,1967,1,864,1,6,900,288,1,123000
841,7840,6,1975,1975,1977,2,976,0,4,1012,0,0,196395
842,7841,9,2005,2005,2005,2,1577,1,6,1577,564,2,163424
843,7844,6,1978,1978,1978,1,672,1,6,1400,440,2,149500
844,7848,7,1999,1999,1999,2,384,1,7,1430,410,2,176023
845,7851,6,2002,2002,2002,2,860,2,8,1960,440,2,216500
846,7861,6,2002,2003,2002,2,783,1,7,1509,393,2,183200
847,7862,6,2009,2009,2009,2,1218,0,4,1218,676,2,208300
848,7875,5,1961,1961,1961,1,1144,0,6,1144,456,2,139950
849,7875,7,1995,1996,1995,2,1237,1,6,1253,402,2,176000
850,7875,7,1996,1996,1996,2,691,0,6,1553,420,2,180081
851,7875,7,2003,2003,2003,2,783,1,8,1509,393,2,180000
852,7875,7,2003,2003,2003,2,847,1,8,1948,434,2,192252
854,7890,6,1939,1950,1939,1,856,1,4,856,399,2,158617
855,7892,6,1979,1979,1979,2,918,1,5,918,264,1,99500
856,7892,6,1993,1993,1993,2,1199,0,5,1199,530,2,153900
857,7898,4,1920,1994,1989,1,576,0,4,985,676,2,159738
858,7903,5,1960,1960,1960,1,1242,0,6,1242,324,1,176821
859,7910,5,1960,1960,1960,2,1075,0,7,1507,404,1,127000
860,7915,6,1999,2000,1999,2,1666,0,6,1675,435,2,183682
861,7917,6,1976,1976,1987,1,1143,1,6,1113,504,1,148000
862,7917,6,1999,2000,1999,2,953,1,7,1647,460,2,175000
863,7920,5,1970,2002,1970,1,914,0,5,914,368,1,182379
864,7920,6,1920,1950,1978,1,319,0,6,1406,0,0,89500
865,7922,5,1953,2007,1953,1,1057,0,5,1057,246,1,109000
866,7930,6,1969,2005,1969,1,1026,0,5,1026,440,2,156000
867,7931,5,1959,1959,1959,1,1148,0,6,1148,672,1,132500
868,7931,5,1960,1960,1964,1,1269,1,6,1269,308,1,155000
869,7936,6,1963,1963,1963,1,1045,1,6,1045,264,1,173986
870,7937,6,1984,1984,1984,1,1003,0,6,1003,588,2,142500
872,7942,6,1953,1953,1953,1,1040,0,6,1040,293,1,178003
873,7943,4,1961,1961,1961,1,1029,0,5,1029,261,1,118500
874,7945,5,1959,1959,1959,1,1150,0,6,1150,300,1,141000
875,7950,6,1977,1977,1977,1,690,0,6,1426,440,2,159500
877,7980,6,1992,2007,1992,2,1168,0,6,1187,420,2,172070
878,7984,7,2004,2005,2004,2,868,1,7,1630,436,2,179605
879,7990,5,1975,1975,1981,1,924,0,5,924,280,1,110000
880,7993,7,2008,2009,2008,2,1436,0,6,1436,529,2,180728
881,8000,5,1959,1959,1959,1,528,0,6,1183,288,1,177427
882,8000,5,1959,1959,1959,1,1256,0,6,1256,311,1,176115
883,8000,5,1960,1960,1965,1,1377,2,6,1377,351,1,183642
884,8000,5,1961,1961,1978,2,1800,0,10,1800,0,0,141000
885,8000,5,1962,1962,1962,1,1027,0,6,1027,299,1,182744
886,8000,6,1948,2002,1948,1,972,1,5,972,240,1,132000
887,8000,6,1970,1970,1970,2,1008,1,8,2411,570,2,191393
888,8000,6,1974,1974,1974,2,1084,1,8,1877,488,2,196918
889,8000,6,1995,1996,1995,2,773,1,8,1658,431,2,188000
890,8000,7,2002,2002,2002,2,1492,1,6,1492,596,2,173214
891,8004,8,2009,2009,2009,2,832,0,8,1935,552,2,263435
892,8010,6,1958,2007,1985,1,951,0,6,951,480,2,166380
893,8010,7,2002,2003,2002,2,840,1,7,1720,400,2,178344
894,8010,8,2003,2004,2003,2,1054,2,8,2048,552,2,180347
895,8012,6,1980,1980,1980,1,630,2,5,1266,283,1,165970
896,8012,6,1980,1980,1980,2,923,1,5,923,264,1,143000
897,8012,6,1992,1992,1992,2,1575,0,5,1575,529,2,179200
898,8012,6,1993,1994,1993,2,1604,1,5,1617,533,2,193000
899,8013,8,1995,1996,1995,2,1587,0,6,1734,528,2,166386
